ISO (3),Companies,Symbols,Ratings,Risk,Industry,Environmental score,Social score,Governance score
USA,3M Co.,NYS:MMM,41.0,Severe ESG Risk,Industrial Conglomerates,17.2,13.6,6.5
IRL,Accenture Plc,NYS:ACN,9.8,Negligible ESG Risk,Software & Services,0.8,4.6,4.4
ESP,ACS Actividades de Construcción y Servicios SA,MCE:ACS,30.8,High ESG Risk,Construction & Engineering,8.3,19.8,8.7
DEU,adidas AG,ETR:ADS,14.6,Low ESG Risk,Textiles & Apparel,2.6,6.7,5.6
USA,"Adobe, Inc.",NAS:ADBE,14.9,Low ESG Risk,Software & Services,1.9,6.0,5.2
USA,"Agilent Technologies, Inc.",NYS:A,13.3,Low ESG Risk,Pharmaceuticals,1.1,6.4,6.1
CAN,Agnico Eagle Mines Ltd.,TSE:AEM,21.4,Medium ESG Risk,Precious Metals,8.8,7.4,5.2
FRA,Airbus SE,PAR:AIR,25.6,Medium ESG Risk,Aerospace & Defense,5.9,11.0,8.0
USA,"Alexandria Real Estate Equities, Inc.",NYS:ARE,13.2,Low ESG Risk,Real Estate,3.9,3.7,6.3
DEU,Allianz SE,ETR:ALV,13.3,Low ESG Risk,Insurance,0.6,6.2,6.4
USA,"Altria Group, Inc.",NYS:MO,31.3,High ESG Risk,Food Products,6.1,17.6,7.6
USA,"Amazon.com, Inc.",NAS:AMZN,30.0,High ESG Risk,Retailing,6.0,15.4,9.2
USA,"American Electric Power Co., Inc.",NAS:AEP,23.9,Medium ESG Risk,Utilities,12.7,8.1,5.4
USA,American Express Co.,NYS:AXP,19.3,Low ESG Risk,Diversified Financials,0.1,8.9,9.7
USA,"American Water Works Co., Inc.",NYS:AWK,19.4,Low ESG Risk,Utilities,9.0,7.6,5.0
USA,"Ameriprise Financial, Inc.",NYS:AMP,20.3,Medium ESG Risk,Diversified Financials,2.1,7.8,10.3
USA,"Amgen, Inc.",NAS:AMGN,23.8,Medium ESG Risk,Pharmaceuticals,0.7,13.5,7.8
LUX,ArcelorMittal SA,AMS:MT,38.1,High ESG Risk,Steel,14.9,14.6,6.7
USA,SBA Communications Corp.,NAS:SBAC,10.4,Low ESG Risk,Real Estate,3.1,3.2,5.2
USA,"Constellation Brands, Inc.",NYS:STZ,26.7,Medium ESG Risk,Food Products,9.4,10.0,5.2
USA,Stryker Corp.,NYS:SYK,24.6,Medium ESG Risk,Healthcare,4.0,13.2,11.0
USA,"Fidelity National Information Services, Inc.",NYS:FIS,17.4,Low ESG Risk,Software & Services,4.1,8.2,5.2
CHE,UBS Group AG,SWX:UBSG,27.5,Medium ESG Risk,Diversified Financials,1.0,12.5,14.7
USA,Westinghouse Air Brake Technologies Corp.,NYS:WAB,23.6,Medium ESG Risk,Machinery,5.4,12.0,6.0
USA,"Splunk, Inc.",NAS:SPLK,21.7,Medium ESG Risk,Software & Services,4.9,10.9,6.1
USA,"Republic Services, Inc.",NYS:RSG,19.3,Low ESG Risk,Commercial Services,11.2,6.0,3.7
USA,Abbott Laboratories,NYS:ABT,23.2,Medium ESG Risk,Healthcare,2.3,14.2,8.3
ESP,Iberdrola SA,MCE:IBE,17.2,Low ESG Risk,Utilities,7.9,8.2,5.8
ESP,Grifols SA,MCE:GRF,16.3,Low ESG Risk,Pharmaceuticals,1.0,11.0,6.0
USA,"IQVIA Holdings, Inc.",NYS:IQV,18.4,Low ESG Risk,Pharmaceuticals,1.3,10.6,7.2
USA,JPMorgan Chase & Co.,NYS:JPM,30.1,High ESG Risk,Banks,1.1,16.5,11.7
USA,The Boeing Co.,NYS:BA,39.4,High ESG Risk,Aerospace & Defense,8.8,22.5,8.3
USA,"Cadence Design Systems, Inc.",NAS:CDNS,12.0,Low ESG Risk,Software & Services,2.3,4.9,4.8
FRA,Christian Dior SE,PAR:CDI,18.1,Low ESG Risk,Textiles & Apparel,1.3,9.2,6.9
FRA,L'Oréal SA,PAR:OR,20.1,Medium ESG Risk,Household Products,4.4,7.2,7.2
FRA,Hermès International SCA,RMS.PA,9.4,Negligible ESG Risk,Textiles & Apparel,0.9,3.7,4.8
FRA,LVMH Moët Hennessy Louis Vuitton SE,PAR:MC,12.0,Low ESG Risk,Textiles & Apparel,0.8,5.7,5.6
FRA,TotalEnergies SE,PAR:TTE,27.1,Medium ESG Risk,Oil & Gas Producers,11.9,8.5,7.9
ESP,Industria de Diseño Textil SA,MCE:ITX,12.5,Low ESG Risk,Retailing,1.1,5.6,5.8
FRA,Sanofi,PAR:SAN,21.2,Medium ESG Risk,Pharmaceuticals,0.9,13.7,6.9
DEU,Deutsche Telekom AG,ETR:DTE,18.6,Low ESG Risk,Telecommunication Services,3.4,8.8,6.5
IRL,Eaton Corp. Plc,NYS:ETN,18.3,Low ESG Risk,Electrical Equipment,5.5,6.8,5.7
IRL,Medtronic Plc,NYS:MDT,22.5,Medium ESG Risk,Healthcare,1.8,13.4,7.6
FRA,Air Liquide SA,PAR:AI,15.9,Low ESG Risk,Chemicals,6.3,2.8,3.6
FRA,EssilorLuxottica SA,PAR:EL,20.4,Medium ESG Risk,Healthcare,2.0,10.0,8.3
FRA,Safran SA,PAR:SAF,23.9,Medium ESG Risk,Aerospace & Defense,7.0,11.0,6.4
DEU,Mercedes-Benz Group AG,ETR:MBG,19.6,Low ESG Risk,Automobiles,6.0,7.4,7.5
FRA,AXA SA,PAR:CS,16.3,Low ESG Risk,Insurance,0.7,9.0,6.7
DEU,Porsche Automobil Holding SE,ETR:PAH3,21.7,Medium ESG Risk,Automobiles,6.2,7.5,7.9
SWE,Investor AB,OME:INVE.B,9.7,Negligible ESG Risk,Diversified Financials,0.3,2.1,7.2
DEU,Bayerische Motoren Werke AG,ETR:BMW,24.8,Medium ESG Risk,Automobiles,4.9,11.1,8.8
ITA,Ferrari NV,MIL:RACE,25.0,Medium ESG Risk,Automobiles,5.9,12.3,6.6
DEU,Merck KGaA,ETR:MRK,18.0,Low ESG Risk,Pharmaceuticals,2.5,8.4,6.8
FRA,VINCI SA,PAR:DG,28.6,Medium ESG Risk,Construction & Engineering,6.3,11.4,9.3
FRA,BNP Paribas SA,PAR:BNP,24.6,Medium ESG Risk,Banks,1.3,11.6,12.6
DEU,Volkswagen AG,ETR:VOW3,26.4,Medium ESG Risk,Automobiles,5.7,9.1,11.2
ESP,Banco Santander SA,MCE:SAN,20.4,Medium ESG Risk,Banks,1.7,11.6,9.1
ITA,Enel SpA,MIL:ENEL,22.3,Medium ESG Risk,Utilities,6.8,10.2,4.6
DEU,Münchener Rückversicherungs-Gesellschaft AG,ETR:MUV2,15.1,Low ESG Risk,Insurance,0.4,7.7,7.0
IRL,Trane Technologies Plc,NYS:TT,15.2,Low ESG Risk,Building Products,4.4,5.7,5.1
NLD,NXP Semiconductors NV,NAS:NXPI,19.8,Low ESG Risk,Semiconductors,8.6,5.4,5.8
ESP,Banco Bilbao Vizcaya Argentaria SA,MCE:BBVA,20.4,Medium ESG Risk,Banks,1.1,10.7,11.4
FRA,Dassault Systèmes SA,PAR:DSY,14.2,Low ESG Risk,Software & Services,2.9,10.1,5.4
ITA,UniCredit SpA,MIL:UCG,14.2,Low ESG Risk,Banks,1.2,8.8,6.8
FRA,Kering SA,PAR:KER,10.6,Low ESG Risk,Textiles & Apparel,0.9,5.0,4.7
NLD,Heineken NV,AMS:HEIA,23.9,Medium ESG Risk,Food Products,7.8,8.7,7.2
DEU,Deutsche Post AG,ETR:DHL,14.3,Low ESG Risk,transportation,4.1,5.9,5.1
NLD,ING Groep NV,AMS:INGA,20.9,Medium ESG Risk,Banks,1.3,12.6,9.3
DEU,Infineon Technologies AG,ETR:IFX,14.5,Low ESG Risk,Semiconductors,5.9,4.9,4.0
DEU,BASF SE,ETR:BAS,25.2,Medium ESG Risk,Chemicals,12.4,6.8,5.9
FRA,Crédit Agricole SA,PAR:ACA,22.9,Medium ESG Risk,Banks,0.7,11.2,10.8
IRL,Johnson Controls International Plc,NYS:JCI,14.3,Low ESG Risk,Building Products,4.5,4.6,5.4
IRL,Johnson Controls International Plc,NYS:JCI,14.3,Low ESG Risk,Building Products,4.5,4.6,5.4
FRA,Pernod Ricard SA,PAR:RI,18.2,Low ESG Risk,Food Products,4.9,6.3,6.6
FRA,Danone SA,PAR:BNP,17.8,Low ESG Risk,Food Products,7.9,7.5,4.4
FRA,ENGIE SA,PAR:ENGI,29.6,Medium ESG Risk,Utilities,11.4,9.9,8.3
IRL,Experian Plc,LON:EXPN,12.0,Low ESG Risk,Commercial Services,0.0,7.1,4.7
DEU,Deutsche Börse AG,ETR:DB1,10.2,Low ESG Risk,Diversified Financials,1.7,4.3,6.0
FRA,Compagnie de Saint-Gobain SA,PAR:SGO,21.47,Medium ESG Risk,Building Products,8.3,7.9,5.7
NLD,Wolters Kluwer NV,AMS:WKL,14.4,Low ESG Risk,Software & Services,4.1,7.9,4.1
ITA,Assicurazioni Generali SpA,MIL:G,17.7,Low ESG Risk,Insurance,0.8,7.4,9.5
ESP,CaixaBank SA,MCE:CABK,15.7,Low ESG Risk,Banks,0.7,6.4,10.1
DEU,E.ON SE,ETR:EOAN,17.6,Low ESG Risk,Utilities,3.8,9.3,4.6
DEU,Beiersdorf AG,ETR:BEI,27.2,Medium ESG Risk,Household Products,8.8,12.6,7.8
FRA,Thales SA,PAR:HO,28.7,Medium ESG Risk,Aerospace & Defense,8.1,13.2,7.4
DNK,DSV A/S,CSE:DSV,13.0,Low ESG Risk,Transportation,3.8,5.6,3.7
IRL,Ryanair Holdings Plc,DUB:RYA,23.6,Medium ESG Risk,Transportation,7.5,11.3,4.7
SWE,Assa Abloy AB,OME:ASSA.B,18.7,Low ESG Risk,Building Products,7.0,5.7,6.1
DNK,Coloplast A/S,CSE:COLO.B,15.2,Low ESG Risk,Healthcare,1.5,7.7,6.0
SWE,Hexagon AB,OME:HEXA.B,10.8,Low ESG Risk,Technology Hardware,2.5,3.5,5.6
DEU,Henkel AG & Co. KGaA,ETR:HEN3,19.3,Low ESG Risk,Household Products,5.4,6.3,6.9
SWE,Skandinaviska Enskilda Banken AB,OME:SEB.A,24.2,Medium ESG Risk,Banks,1.3,10.2,12.7
BEL,KBC Group NV,BRU:KBC,9.8,Negligible ESG Risk,Banks,0.5,3.8,8.2
ESP,Aena S.M.E. SA,MCE:AENA,8.9,Negligible ESG Risk,Transportation Infrastructure,0.5,4.1,4.2
NLD,Koninklijke Ahold Delhaize NV,AMS:AD,26.1,Medium ESG Risk,Food Retailers,9.0,12.7,4.5
SWE,Sandvik Aktiebolag,OME:SAND,22.9,Medium ESG Risk,Machinery,7.1,10.0,5.6
NLD,Ferrovial SE,MCE:FER,32.5,High ESG Risk,Construction & Engineering,7.8,11.4,7.1
DEU,Bayer AG,ETR:BAYN,27.4,Medium ESG Risk,Pharmaceuticals,2.8,17.9,6.7
ESP,Repsol SA,MCE:REP,25.9,Medium ESG Risk,Oil & Gas Producers,13.3,6.7,6.2
ESP,Redeia Corporacion SA,MCE:RED,10.4,Low ESG Risk,Utilities,1.4,4.6,4.4
ESP,Naturgy Energy Group SA,MCE:NTGY,21.9,Medium ESG Risk,Utilities,7.9,5.8,6.0
UKR,International Consolidated Airlines Group SA,LON:IAG,25.7,Medium ESG Risk,Transportation,9.7,11.1,5.2
ESP,Endesa SA,MCE:ELE,16.0,Low ESG Risk,Utilities,6.6,5.2,4.2
ESP,Enagás SA,MCE:ENG,14.9,Low ESG Risk,Utilities,5.1,4.3,5.4
ESP,Banco de Sabadell SA,MCE:SAB,15.0,Low ESG Risk,Banks,0.6,8.1,10.2
ESP,Amadeus IT Group SA,MCE:AMS,14.7,Low ESG Risk,Software & Services,2.4,6.5,5.3
ESP,Mapfre SA,MCE:MAP,19.9,Low ESG Risk,Insurance,1.5,8.2,10.5
ESP,Bankinter SA,MCE:BKT,21.6,Medium ESG Risk,Banks,1.8,8.7,11.1
ESP,Telefónica SA,MCE:TEF,15.8,Low ESG Risk,Telecommunication Services,2.1,7.6,5.7
ESP,Telefónica SA,MCE:TEF,15.8,Low ESG Risk,Telecommunication Services,1.6,9.2,6.6
USA,Microsoft Corp.,NAS:MSFT,15.2,Low ESG Risk,Software & Services,1.5,7.5,6.1
USA,"Meta Platforms, Inc.",NAS:META,33.7,High ESG Risk,Software & Services,2.7,21.1,10.3
USA,Broadcom Inc.,NAS:AVGO,19.2,Low ESG Risk,Semiconductors,7.3,6.0,6.6
USA,"Visa, Inc.",NYS:V,16.4,Low ESG Risk,Software & Services,1.8,8.2,6.7
USA,"UnitedHealth Group, Inc.",NYS:UNH,15.3,Low ESG Risk,Healthcare,0.0,9.7,5.6
USA,"Mastercard, Inc.",NYS:MA,16.6,Low ESG Risk,Software & Services,2.2,6.7,8.3
USA,Exxon Mobil Corp.,NYS:XOM,41.6,Severe ESG Risk,Oil & Gas Producers,23.1,10.0,8.5
USA,Johnson & Johnson,NYS:JNJ,23.1,Medium ESG Risk,Pharmaceuticals,0.9,15.0,8.0
USA,Costco Wholesale Corp.,NAS:COST,26.5,Medium ESG Risk,Food Retailers,6.5,11.2,5.6
USA,"AbbVie, Inc.",NYS:ABBV,26.9,Medium ESG Risk,Pharmaceuticals,2.4,17.2,10.4
USA,"Merck & Co., Inc.",NYS:MRK,22.1,Medium ESG Risk,Pharmaceuticals,1.9,10.6,8.9
USA,Bank of America Corp.,NYS:BAC,28.3,Medium ESG Risk,Banks,1.7,15.1,11.5
USA,Chevron Corp.,NYS:CVX,36.8,High ESG Risk,Oil & Gas Producers,17.0,9.2,10.4
USA,"Netflix, Inc.",NAS:NFLX,16.3,Low ESG Risk,Media,0.1,7.3,9.0
USA,The Coca-Cola Co.,NYS:KO,24.9,Medium ESG Risk,Food Products,7.2,9.5,4.9
USA,"Thermo Fisher Scientific, Inc.",NYS:TMO,13.0,Low ESG Risk,Pharmaceuticals,1.4,4.9,6.5
USA,"PepsiCo, Inc.",NAS:PEP,22.1,Medium ESG Risk,Food Products,7.3,9.6,5.2
USA,Wells Fargo & Co.,NYS:WFC,36.2,High ESG Risk,Banks,2.0,14.8,19.4
USA,The Walt Disney Co.,NYS:DIS,15.7,Low ESG Risk,Media,0.0,9.0,6.7
USA,"Cisco Systems, Inc.",NAS:CSCO,13.7,Low ESG Risk,Technology Hardware,0.4,6.9,6.5
USA,"QUALCOMM, Inc.",NAS:QCOM,15.6,Low ESG Risk,Semiconductors,5.3,4.5,5.6
USA,Intel Corp.,NAS:INTC,17.3,Low ESG Risk,Semiconductors,4.9,7.3,6.6
USA,General Electric Co.,NYS:GE,36.9,High ESG Risk,Industrial Conglomerates,14.2,15.4,10.9
USA,"Intuit, Inc.",NAS:INTU,17.9,Low ESG Risk,Software & Services,1.0,10.7,4.7
USA,International Business Machines Corp.,NYS:IBM,14.3,Low ESG Risk,Software & Services,1.8,6.2,6.1
USA,"Applied Materials, Inc.",NAS:AMAT,12.8,Low ESG Risk,Semiconductors,4.5,3.0,5.3
USA,Comcast Corp.,NAS:CMCSA,23.1,Medium ESG Risk,Telecommunication Services,4.0,10.9,8.2
USA,"Verizon Communications, Inc.",NYS:VZ,18.7,Low ESG Risk,Telecommunication Services,3.7,9.6,5.4
USA,Pfizer Inc.,NYS:PFE,18.7,Low ESG Risk,Pharmaceuticals,2.1,12.9,9.6
USA,Union Pacific Corp.,NYS:UNP,21.6,Medium ESG Risk,Transportation,7.3,10.6,5.6
USA,"Blackstone, Inc.",NYS:BX,25.0,Medium ESG Risk,Diversified Financials,2.5,9.6,11.3
USA,"NIKE, Inc.",NYS:NKE,18.9,Low ESG Risk,Textiles & Apparel,3.0,10.0,6.7
CAN,Royal Bank of Canada,TSE:RY,25.8,Medium ESG Risk,Banks,1.9,13.6,8.9
USA,"Lowe's Companies, Inc.",NYS:LOW,11.9,Low ESG Risk,Retailing,3.3,5.3,3.2
USA,"Intuitive Surgical, Inc.",NAS:ISRG,21.1,Medium ESG Risk,Healthcare,3.7,9.6,7.8
USA,"S&P Global, Inc.",NYS:SPGI,13.0,Low ESG Risk,Diversified Financials,0.0,6.2,6.8
USA,"United Parcel Service, Inc.",NYS:UPS,18.6,Low ESG Risk,Transportation,4.2,8.9,5.5
USA,"Honeywell International, Inc.",NAS:HON,28.1,Medium ESG Risk,Industrial Conglomerates,11.0,10.6,7.0
USA,"The Goldman Sachs Group, Inc.",NYS:GS,25.3,Medium ESG Risk,Diversified Financials,0.9,12.8,11.8
USA,"Prologis, Inc.",NYS:PLD,10.3,Low ESG Risk,Real Estate,2.7,2.5,5.0
USA,Lam Research Corp.,NAS:LRCX,13.0,Low ESG Risk,Semiconductors,4.5,4.0,5.1
USA,"BlackRock, Inc.",NYS:BLK,19.6,Low ESG Risk,Diversified Financials,0.9,7.4,10.0
USA,"AT&T, Inc.",NYS:T,21.5,Medium ESG Risk,Telecommunication Services,3.3,13.9,6.7
USA,The Charles Schwab Corp.,NYS:SCHW,23.0,Medium ESG Risk,Diversified Financials,2.4,8.9,11.9
USA,"Booking Holdings, Inc.",NAS:BKNG,19.2,Low ESG Risk,Software & Services,1.0,10.1,8.1
USA,"NextEra Energy, Inc.",NYS:NEE,23.1,Medium ESG Risk,Utilities,9.4,8.3,5.6
USA,"Elevance Health, Inc.",NYS:ELV,10.6,Low ESG Risk,Healthcare,0.1,6.0,5.3
USA,"Citigroup, Inc.",NYS:C,26.9,Medium ESG Risk,Banks,1.8,13.8,13.7
