industry,country,symbol
Retailing,United States of America,NAS:FLWS
Telecommunication Services,Germany,ETR:1U1
Pharmaceuticals,United States of America,NAS:TXG
Software & Services,Poland,WAR:11B
Banks,United States of America,NAS:SRCE
Transportation,Bermuda,OSL:2020
Pharmaceuticals,United States of America,NAS:ME
Diversified Metals,Australia,ASX:29M
Utilities,Italy,-
Pharmaceuticals,United States of America,NAS:TSVT
Software & Services,United States of America,NAS:TWOU
Diversified Financials,India,BOM:542772
Software & Services,China,SHG:601360
Textiles & Apparel,China,HKG:1361
Software & Services,China,SHE:002555
Commercial Services,United States of America,NAS:SCWO
Technology Hardware,United States of America,NYS:DDD
Diversified Financials,United Kingdom,LON:III
Industrial Conglomerates,United States of America,NYS:MMM
Industrial Conglomerates,India,BOM:523395
Semiconductors,China,SHG:688536
Oil & Gas Producers,Brazil,BSP:RRRP3
Pharmaceuticals,United States of America,NAS:ME
Construction & Engineering,Canada,-
Transportation Infrastructure,Canada,-
Pharmaceuticals,United States of America,NAS:FDMT
Media,United Kingdom,LON:FOUR
Diversified Financials,United States of America,-
Chemicals,United States of America,NAS:FEAM
Real Estate,China,SHE:000560
Food Retailers,Malaysia,KLS:5250
Food Retailers,United States of America,-
Consumer Services,Gibraltar,LON:888
Pharmaceuticals,United States of America,NAS:ETNB
Telecommunication Services,United States of America,NAS:EGHT
Healthcare,United States of America,NAS:MASS
Software & Services,Taiwan,ROCO:6741
Real Estate,China,HKG:3319
Diversified Financials,United States of America,NAS:AMRK
Machinery,United States of America,NYS:AOS
Food Products,United Kingdom,LON:BAG
Retailing,United States of America,NAS:FLWS
Retailing,United States of America,NAS:FLWS
Transportation,Denmark,CSE:MAERSK.B
Software & Services,United States of America,NYS:ATEN
Utilities,Italy,MIL:A2A
Real Estate,United Kingdom,-
Retailing,United States of America,NAS:FLWS
Technology Hardware,China,HKG:2018
Pharmaceuticals,United States of America,NAS:AADI
Food Products,Sweden,OME:AAK
Retailing,United States of America,NAS:FLWS
Retailing,United States of America,NAS:FLWS
Building Products,United States of America,NAS:AAON
Retailing,United States of America,NAS:FLWS
Banks,Germany,HAM:ARLN
Pharmaceuticals,India,BOM:524348
Chemicals,India,BOM:524208
Banks,India,BOM:541988
Auto Components,United Kingdom,LON:ABDP
Pharmaceuticals,France,PAR:AB
Retailing,United States of America,NAS:FLWS
Banks,Spain,-
Retailing,United States of America,NAS:FLWS
Electrical Equipment,Switzerland,SWX:ABBN
Retailing,United States of America,NAS:FLWS
Retailing,United States of America,NAS:FLWS
Retailing,United States of America,NAS:FLWS
Retailing,United States of America,NAS:FLWS
Pharmaceuticals,Canada,NAS:ABCL
Retailing,United States of America,NAS:FLWS
Food Retailers,Saudi Arabia,SAU:4001
Retailing,United States of America,NAS:FLWS
Retailing,United States of America,NAS:FLWS
Retailing,United States of America,NAS:FLWS
Retailing,United States of America,NAS:FLWS
Diversified Financials,Norway,OSL:ABG
Consumer Durables,Taiwan,TAI:2374
Technology Hardware,Taiwan,ROCO:3362
Pharmaceuticals,France,PAR:ABVX
Pharmaceuticals,South Korea,KRX:298380
Household Products,South Korea,KRX:078520
Retailing,United States of America,NAS:FLWS
Commercial Services,United States of America,NYS:ABM
Banks,Netherlands,AMS:ABN
Utilities,Philippines,PHS:AEV
Utilities,Philippines,PHS:AP
Retailing,Germany,ETR:YOU
Diversified Financials,United Kingdom,LON:ASLI
Retailing,United States of America,NAS:FLWS
Real Estate,United Kingdom,LON:API
Banks,South Africa,JSE:ABG
Utilities,Thailand,BKK:ACE
Software & Services,Canada,-
Transportation,United Arab Emirates,ADS:ADAVIATION
Banks,United Arab Emirates,ADS:ADCB
Refiners & Pipelines,United Arab Emirates,-
Banks,United Arab Emirates,ADS:ADIB
Utilities,United Arab Emirates,ADS:TAQA
Consumer Services,United Arab Emirates,ADS:ADNH
Insurance,United Arab Emirates,ADS:ADNIC
Refiners & Pipelines,United Arab Emirates,ADS:ADNOCDIST
Transportation,United Arab Emirates,ADS:ADPORTS
Electrical Equipment,United States of America,-
Consumer Services,Sweden,OME:ACAD
Retailing,United States of America,NAS:ASO
Healthcare,United States of America,NAS:ACHC
Pharmaceuticals,United States of America,NAS:ACAD
Retailing,United States of America,NAS:FLWS
Retailing,United States of America,NAS:FLWS
Construction Materials,India,BOM:500410
Media,United States of America,NYS:ACEL
Technology Hardware,China,SHE:002281
Machinery,Switzerland,SWX:ACLN
Retailing,Australia,ASX:AX1
Software & Services,Ireland,NYS:ACN
Media,United States of America,NYS:ACEL
Retailing,United States of America,NAS:FLWS
Construction & Engineering,Canada,-
Utilities,Spain,MCE:ANA
Commercial Services,United States of America,NYS:ACCO
Healthcare,United States of America,NAS:ACCD
Consumer Services,France,PAR:AC
Technology Hardware,Taiwan,TAI:2345
Technology Hardware,South Korea,KRX:088800
Utilities,Italy,MIL:ACE
Utilities,Philippines,PHS:ACEN
Technology Hardware,Taiwan,TAI:2353
Steel,Spain,MCE:ACX
Chemicals,Japan,TKS:5142
Banks,Netherlands,-
Insurance,Netherlands,-
Software & Services,United States of America,NAS:ACIW
Diversified Financials,Belgium,BRU:ACKB
Pharmaceuticals,United States of America,NAS:ACRS
Machinery,China,SHG:688082
Machinery,United States of America,NAS:ACMR
Retailing,United States of America,NAS:FLWS
Retailing,United States of America,NAS:FLWS
Food Retailers,Netherlands,AMS:ACOMO
Real Estate,Sweden,OME:ACRI.A
Pharmaceuticals,United States of America,NAS:ACRV
Chemicals,Russian Federation,MIC:AKRN
Construction & Engineering,Spain,MCE:ACS
Construction & Engineering,Taiwan,ROCO:5536
Consumer Services,Sweden,OME:ATIC
Machinery,India,BOM:532762
Pharmaceuticals,Sweden,OME:ACTI
Real Estate,Japan,TKS:3279
Software & Services,United States of America,-
Retailing,United States of America,NAS:FLWS
Consumer Durables,United States of America,NYS:GOLF
Retailing,United States of America,NAS:ACVA
Retailing,United States of America,NAS:FLWS
Retailing,United States of America,NAS:FLWS
Utilities,India,-
Utilities,India,BOM:539254
Traders & Distributors,India,BOM:512599
Utilities,India,BOM:541450
Transportation Infrastructure,India,BOM:532921
Transportation Infrastructure,India,BOM:532921
Utilities,India,BOM:542066
Food Products,India,BOM:543458
Containers & Packaging,Austria,-
Retailing,United States of America,NAS:FLWS
Pharmaceuticals,United States of America,NAS:ADPT
Retailing,Japan,TKS:2685
Semiconductors,Taiwan,ROCO:3260
Retailing,United States of America,NAS:FLWS
Retailing,United States of America,NAS:FLWS
Software & Services,Taiwan,ROCO:5287
Pharmaceuticals,Sweden,OME:ALIF.B
Software & Services,Sweden,OME:ANOD.B
Technology Hardware,China,SHE:000547
Traders & Distributors,Sweden,OME:ADDT.B
Retailing,United States of America,NAS:FLWS
Commercial Services,Switzerland,SWX:ADEN
Food Products,Luxembourg,NYS:AGRO
Semiconductors,United States of America,NAS:ADEA
Chemicals,Japan,TKS:4401
Transportation Infrastructure,Australia,-
Retailing,United States of America,NAS:FLWS
Software & Services,Germany,ETR:ADN1
Software & Services,Norway,OSL:ADE
Pharmaceuticals,United States of America,NAS:ACET
Textiles & Apparel,Germany,ETR:ADS
Auto Components,United States of America,NYS:ADNT
Pharmaceuticals,Taiwan,TAI:4142
Diversified Financials,India,BOM:540691
Textiles & Apparel,India,BOM:535755
Real Estate,Luxembourg,ETR:ADJ
Technology Hardware,Taiwan,TAI:6166
Pharmaceuticals,United States of America,NAS:ADMA
Utilities,Greece,ATH:ADMIE
Insurance,United Kingdom,LON:ADM
Retailing,United States of America,NAS:FLWS
Software & Services,United States of America,NAS:ADBE
Building Products,Germany,-
Electrical Equipment,Ireland,NAS:ADSE
Commercial Services,United States of America,NYS:ADT
Retailing,United States of America,NAS:FLWS
Technology Hardware,United States of America,NAS:ADTN
Technology Hardware,Germany,ETR:ADV
Traders & Distributors,Japan,TKS:7463
Retailing,United States of America,NYS:AAP
Real Estate,Japan,TKS:3493
Real Estate,Japan,TKS:3269
Technology Hardware,Taiwan,ROCO:3152
Building Products,United States of America,NYS:WMS
Semiconductors,United States of America,NAS:AEIS
Electrical Equipment,Taiwan,TAI:6781
Chemicals,India,BOM:540025
Telecommunication Services,Thailand,BKK:ADVANC
Consumer Durables,Taiwan,ROCO:8938
Healthcare,United Kingdom,LON:AMS
Semiconductors,United States of America,NAS:AMD
Semiconductors,China,SHG:688012
Chemicals,South Korea,KRX:121600
Chemicals,Saudi Arabia,SAU:2330
Retailing,United States of America,NAS:FLWS
Diversified Metals,China,SHE:000969
Semiconductors,Taiwan,ROCO:8086
Retailing,United States of America,NAS:FLWS
Retailing,United States of America,NAS:FLWS
Retailing,United States of America,NAS:FLWS
Retailing,United States of America,NAS:FLWS
Retailing,United States of America,NAS:FLWS
Retailing,United States of America,NAS:FLWS
Retailing,United States of America,NAS:FLWS
Retailing,United States of America,NAS:FLWS
Retailing,United States of America,NAS:FLWS
Aerospace & Defense,China,SHE:000738
Aerospace & Defense,China,SHG:600893
Chemicals,South Africa,JSE:AFE
Retailing,United States of America,NAS:FLWS
Retailing,United States of America,NAS:FLWS
Retailing,United States of America,NAS:FLWS
Retailing,United States of America,NAS:FLWS
Retailing,United States of America,NAS:FLWS
Retailing,United States of America,NAS:FLWS
Retailing,United States of America,NAS:FLWS
Insurance,Netherlands,AMS:AGN
Retailing,United States of America,NAS:FLWS
Retailing,United States of America,NAS:FLWS
Semiconductors,Singapore,SES:AWX
Retailing,United States of America,NAS:FLWS
Retailing,United States of America,NAS:FLWS
Retailing,United States of America,NAS:FLWS
Diversified Financials,Malaysia,KLS:5139
Retailing,United States of America,NAS:FLWS
Consumer Services,Japan,TKS:4343
Banks,Japan,TKS:8570
Retailing,Japan,TKS:7512
Real Estate,Japan,TKS:8905
Real Estate,Japan,TKS:3292
Diversified Financials,Thailand,BKK:AEONTS
Retailing,United States of America,NAS:FLWS
Construction & Engineering,United States of America,-
Traders & Distributors,Ireland,NYS:AER
Transportation Infrastructure,Italy,-
Transportation Infrastructure,Canada,-
Transportation Infrastructure,France,PAR:ADP
Transportation Infrastructure,Mexico,-
Transportation Infrastructure,Dominican Republic,-
Auto Components,China,SHE:000901
Retailing,United States of America,NAS:FLWS
Retailing,United States of America,NAS:FLWS
Retailing,United States of America,NAS:FLWS
Utilities,Chile,SGO:AESANDES
Utilities,Argentina,-
Utilities,Brazil,BSP:AESB3
Semiconductors,United States of America,NYS:AEVA
Real Estate,United Kingdom,LON:AEWU
Retailing,United States of America,NAS:FLWS
Diversified Financials,United States of America,NAS:AFCG
Diversified Financials,United States of America,NYS:AMG
Retailing,United States of America,NAS:FLWS
Utilities,United Kingdom,-
Retailing,United States of America,NAS:FLWS
Software & Services,India,BOM:542752
Diversified Financials,United Kingdom,-
Real Estate,Israel,TAE:AFPR
Retailing,United States of America,NAS:FLWS
Retailing,United States of America,NAS:FLWS
Banks,Nigeria,-
Real Estate,Israel,TAE:AFRE
Oil & Gas Producers,Canada,TSE:AOI
Banks,Egypt,MAU:AEIB.N0004
Diversified Metals,South Africa,JSE:ARI
Construction Materials,South Africa,JSE:AFT
Retailing,United States of America,NAS:FLWS
Construction & Engineering,Sweden,OME:AFRY
Consumer Services,Thailand,BKK:AU
Industrial Conglomerates,Turkey,IST:AGHOL.E
Machinery,Canada,TSE:AFN
Building Products,Japan,TKS:5201
Retailing,United States of America,NAS:FLWS
Insurance,Belgium,BRU:AGS
Banks,France,-
Banks,France,-
Pharmaceuticals,United States of America,NAS:AGEN
Healthcare,Belgium,BRU:AGFB
Real Estate,China,HKG:3383
Pharmaceuticals,United States of America,NYS:A
Healthcare,United States of America,NYS:AGTI
Transportation,Kuwait,KUW:AGLTY
Retailing,United States of America,NAS:FLWS
Technology Hardware,United States of America,NAS:AGYS
Pharmaceuticals,United States of America,NAS:AGIO
Retailing,United States of America,NAS:FLWS
Real Estate,United States of America,NAS:AGNC
Precious Metals,Canada,TSE:AEM
Retailing,United States of America,NAS:FLWS
Food Products,Austria,WBO:AGR
Real Estate,United States of America,NYS:ADC
Banks,United Kingdom,-
Banks,China,HKG:1288
Banks,Singapore,-
Retailing,United States of America,NAS:FLWS
Retailing,United States of America,NAS:FLWS
Retailing,United States of America,NAS:FLWS
Food Products,United Arab Emirates,ADS:AGTHIA
Utilities,Argentina,-
Utilities,Chile,SGO:AGUAS.A
Food Products,Taiwan,TAI:1217
Banks,Qatar,DSMD:ABQK
Banks,Kuwait,KUW:ALMUTAHED
Software & Services,South Korea,KRX:053800
Technology Hardware,Japan,TKS:3076
Machinery,India,BOM:532683
Insurance,Hong Kong,HKG:1299
Banks,Ireland,DUB:A5G
Energy Services,Norway,-
Chemicals,Japan,TKS:4206
Retailing,United States of America,NAS:FLWS
Banks,Japan,TKS:7389
Steel,Japan,TKS:5482
Machinery,Japan,TKS:6118
Healthcare,China,SHE:300015
Diversified Financials,Japan,TKS:8515
Pharmaceuticals,China,HKG:6660
Automobiles,China,SHG:603529
Retailing,United States of America,NAS:FLWS
Retailing,United States of America,NAS:FLWS
Retailing,United States of America,NAS:FLWS
Technology Hardware,Japan,TKS:6718
Transportation,United Arab Emirates,DFM:AIRARABIA
Retailing,United States of America,NAS:FLWS
Retailing,United States of America,NAS:FLWS
Retailing,United States of America,NAS:FLWS
Traders & Distributors,United States of America,NYS:AL
Retailing,United States of America,NAS:FLWS
Transportation,New Zealand,NZE:AIR
Chemicals,United States of America,NYS:APD
Transportation,United States of America,NAS:ATSG
Chemicals,Japan,TKS:4088
Software & Services,United States of America,NAS:ABNB
Aerospace & Defense,France,PAR:AIR
Traders & Distributors,United States of America,-
Transportation Infrastructure,Hong Kong,-
Retailing,United States of America,NAS:FLWS
Real Estate,Japan,TKS:8864
Transportation Infrastructure,Thailand,BKK:AOT
Healthcare,United States of America,NAS:AIRS
Retailing,United States of America,NAS:FLWS
Retailing,United States of America,NAS:FLWS
Retailing,United States of America,NAS:FLWS
Consumer Services,Japan,TKS:6191
Auto Components,Japan,TKS:7283
Retailing,United States of America,NAS:FLWS
Software & Services,China,SHG:600271
Semiconductors,Germany,ETR:AIXA
Retailing,United States of America,NAS:FLWS
Pharmaceuticals,India,BOM:532331
Food Products,Japan,TKS:2802
Banks,United Arab Emirates,DFM:AJMANBANK
Healthcare,China,HKG:1789
Retailing,United States of America,NAS:FLWS
Software & Services,Japan,TKS:3932
Retailing,United States of America,NAS:FLWS
Construction Materials,Turkey,IST:AKCNS.E
Auto Components,Japan,TKS:7238
Retailing,United States of America,NAS:FLWS
Retailing,United States of America,NAS:FLWS
Oil & Gas Producers,Norway,OSL:AKRBP
Machinery,Norway,OSL:ACC
Diversified Financials,Norway,OSL:AKH
Energy Services,Norway,OSL:AKSO
Pharmaceuticals,United States of America,NAS:AKRO
Retailing,United States of America,NAS:FLWS
Real Estate,Turkey,IST:AKSGY.E
Technology Hardware,United States of America,NAS:AKTS
Pharmaceuticals,United States of America,NAS:AKYA
Textiles & Apparel,Turkey,IST:AKSA.E
Utilities,Turkey,IST:AKSEN.E
Insurance,Turkey,IST:AKGRT.E
Banks,Finland,HEL:AKTIA
Healthcare,United States of America,-
Auto Components,France,PAR:AKW
Chemicals,India,BOM:500710
Chemicals,Netherlands,AMS:AKZA
Banks,Kuwait,KUW:ABK
Healthcare,Saudi Arabia,SAU:4163
Healthcare,Saudi Arabia,SAU:4007
Construction Materials,Saudi Arabia,SAU:3091
Diversified Metals,Saudi Arabia,SAU:1322
Software & Services,Saudi Arabia,SAU:7200
Banks,Saudi Arabia,SAU:1120
Insurance,Saudi Arabia,SAU:8230
Telecommunication Services,United Arab Emirates,ADS:YAHSAT
Retailing,United States of America,NAS:FLWS
Utilities,United States of America,-
Traders & Distributors,Kuwait,KUW:ALAFCO
Retailing,United States of America,NAS:FLWS
Machinery,United States of America,NYS:ALG
Machinery,United States of America,NYS:ALG
Traders & Distributors,Canada,TSE:ADEN
Industrial Conglomerates,Turkey,IST:ALARK.E
Retailing,United States of America,NAS:FLWS
Retailing,United States of America,NAS:FLWS
Technology Hardware,United States of America,NYS:DDD
Retailing,United States of America,NAS:FLWS
